County Name,City Name,Description
Palm Beach,Canal Point,census designated place
Brevard,Cape Canaveral,city
Lee,Cape Coral,city
Lee,Captiva,census designated place
Franklin,Carrabelle,city
Hillsborough,Carrollwood,census designated place
Holmes,Caryville,town
Seminole,Casselberry,city
Bay,Cedar Grove,town
Levy,Cedar Key,city
Osceola,Celebration,census designated place
Sumter,Center Hill,city
Escambia,Century,town
Lee,Charleston Park,census designated place
Charlotte,Charlotte Harbor,census designated place
Charlotte,Charlotte Park,census designated place
Gadsden,Chattahoochee,city
Hillsborough,Cheval,census designated place
Levy,Chiefland,city
Washington,Chipley,city
Collier,Chokoloskee,census designated place
Orange,Christmas,census designated place
Seminole,Chuluota,populated place
Santa Rosa,Chumuckla,populated place
Okaloosa,Cinco Bayou,town
Citrus,Citrus Hills,census designated place
Hillsborough,Citrus Park,census designated place
Citrus,Citrus Springs,census designated place
Orange,Clarcona,census designated place
Pinellas,Clearwater,city
Lake,Clermont,city
Charlotte,Cleveland,census designated place
Glades,Clewiston,city
Hendry,Clewiston,city
Palm Beach,Cloud Lake,town
Santa Rosa,Cobbtown,census designated place
Brevard,Cocoa,city
Brevard,Cocoa Beach,city
Brevard,Cocoa West,populated place
Broward,Coconut Creek,city
Sumter,Coleman,city
Polk,Combee Settlement,census designated place
Pasco,Connerton,census designated place
Orange,Conway,census designated place
Broward,Cooper City,city
Miami-Dade,Coral Gables,city
Broward,Coral Springs,city
Miami-Dade,Coral Terrace,census designated place
Manatee,Cortez,census designated place
Jackson,Cottondale,town
Miami-Dade,Country Club,census designated place
Miami-Dade,Country Walk,census designated place
Wakulla,Crawfordville,census designated place
Saint Johns,Crescent Beach,census designated place
Putnam,Crescent City,city
Okaloosa,Crestview,city
Polk,Crooked Lake Park,census designated place
Dixie,Cross City,town
Polk,Crystal Lake,census designated place
Citrus,Crystal River,city
Pasco,Crystal Springs,census designated place
Monroe,Cudjoe Key,census designated place
Miami-Dade,Cutler Bay,town
Polk,Cypress Gardens,census designated place
Lee,Cypress Lake,census designated place
Okeechobee,Cypress Quarters,census designated place
Pasco,Dade City,city
Pasco,Dade City North,census designated place
Broward,Dania Beach,city
Polk,Davenport,city
Broward,Davie,town
Lafayette,Day,census designated place
Volusia,Daytona Beach,city
Volusia,Daytona Beach Shores,city
Walton,De Funiak Springs,city
Volusia,De Leon Springs,census designated place
Volusia,DeBary,populated place
Broward,Deerfield Beach,city
Volusia,DeLand,city
Volusia,DeLand Southwest,census designated place
Palm Beach,Delray Beach,city
Volusia,Deltona,populated place
Sarasota,Desoto Lakes,census designated place
Okaloosa,Destin,city
Santa Rosa,Dickerson City,census designated place
Santa Rosa,Dixonville,populated place
Orange,Doctor Phillips,census designated place
Miami-Dade,Doral,city
Hillsborough,Dover,census designated place
Monroe,Duck Key,census designated place
Polk,Dundee,town
Pinellas,Dunedin,city
Marion,Dunnellon,city
Polk,Eagle Lake,city
Levy,East Bronson,census designated place
Hillsborough,East Lake-Orient Park,census designated place
Pinellas,East Lake,census designated place
Santa Rosa,East Milton,census designated place
Putnam,East Palatka,census designated place
Levy,East Williston,census designated place
Franklin,Eastpoint,census designated place
Orange,Eatonville,town
Washington,Ebro,town
Volusia,Edgewater,city
Orange,Edgewood,city
Okaloosa,Eglin Air Force Base,census designated place
Hillsborough,Egypt Lake-Leto,census designated place
Miami-Dade,El Portal,village
Pasco,Elfers,census designated place
Manatee,Ellenton,census designated place
Charlotte,Englewood,census designated place
Sarasota,Englewood,census designated place
Escambia,Ensley,census designated place
Lee,Estero,village
Holmes,Esto,town
Lake,Eustis,city
Collier,Everglades,city
Marion,Fairfield,populated place
Orange,Fairview Shores,
Gilchrist,Fanning Springs,city
Levy,Fanning Springs,city
Pinellas,Feather Sound,census designated place
Indian River,Fellsmere,city
Seminole,Fern Park,populated place
Nassau,Fernandina Beach,city
Lake,Ferndale,census designated place
Escambia,Ferry Pass,census designated place
Santa Rosa,Fidelis,census designated place
Hillsborough,Fish Hawk,census designated place
Miami-Dade,Fisher Island,census designated place
Columbia,Five Points,census designated place
Flagler,Flagler Beach,city
Volusia,Flagler Beach,city
St. Johns,Flagler Estates,census designated place
Clay,Fleming Island,census designated place
Citrus,Floral City,census designated place
Miami-Dade,Florida City,city
Indian River,Florida Ridge,census designated place
St. Lucie,Florida Ridge,census designated place
Santa Rosa,Floridatown,census designated place
Seminole,Forest City,census designated place
Hendry,Fort Denaud,census designated place
Hardee,Fort Green,census designated place
Hardee,Fort Green Springs,census designated place
Broward,Fort Lauderdale,city
Polk,Fort Meade,city
Lee,Fort Myers,city
Lee,Fort Myers Beach,city
Lee,Fort Myers Shores,census designated place
Saint Lucie,Fort Pierce,city
Saint Lucie,Fort Pierce North,census designated place
Saint Lucie,Fort Pierce South,census designated place
Okaloosa,Fort Walton Beach,city
Columbia,Fort White,town
Miami-Dade,Fountainbleau,census designated place
Lake,Four Corners,populated place
Polk,Four Corners,populated place
Orange,Four Corners,populated place
Osceola,Four Corners,populated place
Broward,Franklin Park,populated place
Walton,Freeport,city
Polk,Frostproof,city
Saint Johns,Fruit Cove,census designated place
Lake,Fruitland Park,city
Sarasota,Fruitville,census designated place
Polk,Fuller Heights,census designated place
Polk,Fussels Corner,census designated place
Alachua,Gainesville,city
Santa Rosa,Garcon Point,census designated place
Hernando,Garden Grove,census designated place
Hardee,Gardner,census designated place
Lee,Gateway,census designated place
Seminole,Geneva,census designated place
Hillsborough,Gibsonton,census designated place
Indian River,Gifford,census designated place
Miami-Dade,Gladeview,census designated place
Palm Beach,Glen Ridge,town
Baker,Glen Saint Mary,town
Miami-Dade,Glencoe,census designated place
Miami-Dade,Glenvar Heights,census designated place
Miami-Dade,Golden Beach,town
Collier,Golden Gate,census designated place
Miami-Dade,Golden Glades,census designated place
Orange,Goldenrod,census designated place
Seminole,Goldenrod,census designated place
Palm Beach,Golf,village
Escambia,Gonzalez,census designated place
Collier,Goodland,census designated place
Orange,Gotha,census designated place
Escambia,Goulding,census designated place
Miami-Dade,Goulds,census designated place
Jackson,Graceville,city
Jackson,Grand Ridge,town
Brevard,Grant-Valkaria,town
Clay,Green Cove Springs,city
Palm Beach,Greenacres,city
Pinellas,Greenbriar,census designated place
Gadsden,Greensboro,town
Madison,Greenville,town
Jackson,Greenwood,city
Polk,Grenelefe,census designated place
Gadsden,Gretna,city
Charlotte,Grove City,census designated place
Lake,Groveland,city
Santa Rosa,Gulf Breeze,city
Sarasota,Gulf Gate Estates,census designated place
Palm Beach,Gulf Stream,town
Pinellas,Gulfport,city
Hillsborough,Gun Club Estates,census designated place
Polk,Haines City,city
Broward,Hallandale Beach,city
Bradford,Hampton,city
Pinellas,Harbor Bluffs,census designated place
Charlotte,Harbour Heights,census designated place
Hendry,Harlem,census designated place
Lee,Harlem Heights,populated place
Santa Rosa,Harold,census designated place
Saint Johns,Hastings,town
Gadsden,Havana,town
Palm Beach,Haverhill,town
Alachua,Hawthorne,city
Seminole,Heathrow,census designated place
Pasco,Heritage Pines,census designated place
Citrus,Hernando,census designated place
Hernando,Hernando Beach,census designated place
Miami-Dade,Hialeah,city
Miami-Dade,Hialeah Gardens,city
Hernando,High Point,census designated place
Alachua,High Springs,town
Palm Beach,Highland Beach,town
Polk,Highland City,census designated place
Polk,Highland Park,village
Hernando,Hill 'n Dale,census designated place
Polk,Hillcrest Heights,town
Nassau,Hilliard,town
Broward,Hillsboro Beach,town
Broward,Hillsboro Pines,census designated place
Martin,Hobe Sound,census designated place
Orange,Holden Heights,census designated place
Pasco,Holiday,census designated place
Santa Rosa,Holley,census designated place
Volusia,Holly Hill,city
Broward,Hollywood,city
Manatee,Holmes Beach,city
Polk,Homeland,census designated place
Miami-Dade,Homestead,city
Miami-Dade,Homestead Base,military
Citrus,Homosassa,census designated place
Citrus,Homosassa Springs,census designated place
Orange,Horizon West,census designated place
Dixie,Horseshoe Beach,town
Liberty,Hosford,census designated place
Lake,Howey-in-the-Hills,town
Pasco,Hudson,census designated place
Orange,Hunters Creek,census designated place
St. Lucie,Hutchinson Island South,census designated place
Palm Beach,Hypoluxo,town
Collier,Immokalee,census designated place
Brevard,Indialantic,town
Miami-Dade,Indian Creek,village
Brevard,Indian Harbour Beach,city
St. Lucie,Indian River Estates,census designated place
Indian River,Indian River Shores,town
Pinellas,Indian Rocks Beach,city
Pinellas,Indian Shores,town
Martin,Indiantown,populated place
Levy,Inglis,town
Putnam,Interlachen,town
Citrus,Inverness,city
Citrus,Inverness Highlands North,census designated place
Citrus,Inverness Highlands South,census designated place
Polk,Inwood,census designated place
Lee,Iona,census designated place
Monroe,"Islamorada, Village of Islands",village
Collier,Island Walk,census designated place
Hernando,Istachatta,census designated place
Broward,Ives Estates,census designated place
Miami-Dade,Ives Estates,census designated place
Duval,Jacksonville,city
Duval,Jacksonville Beach,city
Jackson,Jacob City,city
Polk,Jan Phyl Village,census designated place
Pasco,Jasmine Estates,census designated place
Hamilton,Jasper,city
Santa Rosa,Jay,town
Hamilton,Jennings,town
Martin,Jensen Beach,census designated place
Brevard,June Park,census designated place
Palm Beach,Juno Beach,town
Palm Beach,Juno Ridge,census designated place
Palm Beach,Jupiter,town
Palm Beach,Jupiter Farms,census designated place
Palm Beach,Jupiter Inlet Colony,town
Martin,Jupiter Island,town
Polk,Kathleen,census designated place
Miami-Dade,Kendale Lakes,census designated place
Miami-Dade,Kendall,census designated place
Miami-Dade,Kendall West,census designated place
Pinellas,Kenneth City,town
Sarasota,Kensington Park,census designated place
Palm Beach,Kenwood Estates,census designated place
Miami-Dade,Key Biscayne,village
Monroe,Key Colony Beach,city
Monroe,Key Largo,census designated place
Pasco,Key Vista,census designated place
Monroe,Key West,city
Hillsborough,Keystone,census designated place
Clay,Keystone Heights,city
Osceola,Kissimmee,city
Alachua,La Crosse,town
Hendry,LaBelle,city
Pasco,Lacoochee,census designated place
Lake,Lady Lake,town
Bay,Laguna Beach,census designated place
Polk,Lake Alfred,city
Palm Beach,Lake Belvedere Estates,census designated place
Orange,Lake Buena Vista,city
Orange,Lake Butler,census designated place
Union,Lake Butler,city
Columbia,Lake City,city
Palm Beach,Lake Clarke Shores,town
Polk,Lake Hamilton,town
Palm Beach,Lake Harbor,census designated place
Orange,Lake Hart,census designated place
Volusia,Lake Helen,city
Lake,Lake Kathryn,census designated place
Hernando,Lake Lindsey,census designated place
Okaloosa,Lake Lorraine,census designated place
Lake,Lake Mack-Forest Hills,census designated place
Hillsborough,Lake Magdalene,census designated place
Seminole,Lake Mary,city
Orange,Lake Mary Jane,census designated place
Liberty,Lake Mystic,census designated place
Sumter,Lake Panasoffkee,census designated place
Palm Beach,Lake Park,town
Highlands,Lake Placid,town
Sarasota,Lake Sarasota,census designated place
Polk,Lake Wales,city
Palm Beach,Lake Worth,city
Polk,Lakeland,city
Polk,Lakeland Highlands,census designated place
Clay,Lakeside,census designated place
Saint Lucie,Lakewood Park,census designated place
Jefferson,Lamont,census designated place
Pasco,Land O' Lakes,census designated place
Palm Beach,Lantana,town
Pinellas,Largo,city
Broward,Lauderdale Lakes,city
Broward,Lauderdale-by-the-Sea,town
Broward,Lauderhill,city
Sarasota,Laurel,census designated place
Okaloosa,Laurel Hill,city
Bradford,Lawtey,city
Monroe,Layton,city
Broward,Lazy Lake,village
Pinellas,Lealman,census designated place
Citrus,Lecanto,census designated place
Madison,Lee,town
Lake,Leesburg,city
Lee,Lehigh Acres,census designated place
Miami-Dade,Leisure City,census designated place
Collier,Lely,census designated place
Collier,Lely Resort,census designated place
Hardee,Lemon Grove,census designated place
Broward,Lighthouse Point,city
Hardee,Limestone,census designated place
Palm Beach,Limestone Creek,census designated place
Lake,Lisbon,census designated place
Suwannee,Live Oak,city
Jefferson,Lloyd,census designated place
Lee,Lochmoor Waterway Estates,census designated place
Orange,Lockhart,census designatedplace
Manatee,Longboat Key,town
Sarasota,Longboat Key,town
Seminole,Longwood,city
Polk,Loughman,census designated place
Bay,Lower Grand Lagoon,census designated place
Palm Beach,Loxahatchee Groves,town
Hillsborough,Lutz,census designated place
Bay,Lynn Haven,city
Baker,Macclenny,city
Pinellas,Madeira Beach,city
Madison,Madison,city
Orange,Maitland,city
Brevard,Malabar,town
Jackson,Malone,town
Palm Beach,Manalapan,town
Charlotte,Manasota Key,census designated place
Levy,Manatee Road,census designated place
Hillsborough,Mango,census designated place
Palm Beach,Mangonia Park,town
Monroe,Marathon,city
Collier,Marco Island,city
Broward,Margate,city
Jackson,Marianna,city
Flagler,Marineland,town
St. Johns,Marineland,town
Okaloosa,Mary Esther,city
Hernando,Masaryktown,census designated place
Lake,Mascotte,city
Lee,Matlacha,census designated place
Lee,Matlacha Isles-Matlacha Shores,census designated place
Lafayette,Mayo,town
Lee,McGregor,census designated place
Marion,McIntosh,town
Pasco,Meadow Oaks,census designated place
Orange,Meadow Woods,census designated place
Miami-Dade,Medley,town
Polk,Medulla,census designated place
Brevard,Melbourne,city
Brevard,Melbourne Beach,town
Brevard,Melbourne Village,town
Manatee,Memphis,census designated place
Brevard,Merrit Island,census designated place
Bay,Mexico Beach,city
Miami-Dade,Miami,city
Miami-Dade,Miami Beach,city
Miami-Dade,Miami Gardens,city
Miami-Dade,Miami Lakes,town
Miami-Dade,Miami Shores,village
Miami-Dade,Miami Springs,city
Alachua,Micanopy,town
Brevard,Micco,census designated place
Clay,Middleburg,census designated place
Gadsden,Midway,city
Seminole,Midway,census designated place
Santa Rosa,Midway,census designated place
Santa Rosa,Milton,city
Brevard,Mims,census designated place
Lake,Minneola,city
Broward,Miramar,city
Walton,Miramar Beach,census designated place
Escambia,Molino,census designated place
Jefferson,Monticello,city
Hendry,Montura,census designated place
Lake,Montverde,town
Pasco,Moon Lake,census designated place
Glades,Moore Haven,city
Levy,Morriston,census designated place
Santa Rosa,Mount Carmel,census designated place
Lake,Mount Dora,city
Lake,Mount Plymouth,census designated place
Santa Rosa,Mulat,census designated place
Polk,Mulberry,city
Santa Rosa,Munson,census designated place
Escambia,Myrtle Grove,census designated place
Collier,Naples,city
Collier,Naples Manor,census designated place
Collier,Naples Park,census designated place
Miami-Dade,Naranja,census designated place
Nassau,Nassau Village-Ratliff,census designated place
Santa Rosa,Navarre,census designated place
Santa Rosa,Navarre Beach,census designated place
Duval,Neptune Beach,city
Pasco,New Port Richey,city
Pasco,New Port Richey East,census designated place
Volusia,New Smyrna Beach,city
Alachua,Newberry,city
Okaloosa,Niceville,city
Hernando,Nobleton,census designated place
Desoto,Nocatee,populated place
Sarasota,Nokomis,census designated place
Holmes,Noma,town
Miami-Dade,North Bay Village,city
Hernando,North Brooksville,census designated place
Volusia,North DeLand,census designated place
Lee,North Fort Myers,census designated place
Monroe,North Key Largo,census designated place
Broward,North Lauderdale,city
Miami-Dade,North Miami,city
Miami-Dade,North Miami Beach,city
Palm Beach,North Palm Beach,village
Sarasota,North Port,city
Pinellas,North Redington Beach,town
Martin,North River Shores,census designated place
Sarasota,North Sarasota,census designated place
Hernando,North Weeki Wachee,census designated place
Hillsborough,Northdale,census designated place
Volusia,Oak Hill,city
Orange,Oak Ridge,census designated place
Orange,Oakland,town
Broward,Oakland Park,city
Clay,Oakleaf Plantation,census designated place
Marion,Ocala,city
Martin,Ocean Breeze,town
Okaloosa,Ocean City,census designated place
Palm Beach,Ocean Ridge,town
Orange,Ocoee,city
Pasco,Odessa,census designated place
Miami-Dade,Ojus,census designated place
Lake,Okahumpka,census designated place
Okeechobee,Okeechobee,city
Pinellas,Oldsmar,city
Lee,Olga,census designated place
Miami-Dade,Olympia Heights,census designated place
Hardee,Ona,census designated place
Miami-Dade,Opa-locka,city
Volusia,Orange City,city
Clay,Orange Park,town
Collier,Orangetree,census designated place
Indian River,Orchid,town
Santa Rosa,Oriole Beach,census designated place
Orange,Orlando,city
Orange,Orlovista,census designated place
Volusia,Ormond Beach,city
Volusia,Ormond-by-the-Sea,census designated place
Sarasota,Osprey,census designated place
Levy,Otter Creek,town
Seminole,Oviedo,city
Santa Rosa,Pace,census designated place
Lee,Page Park,census designated place
Palm Beach,Pahokee,city
Lake,Paisley,census designated place
Putnam,Palatka,city
Brevard,Palm Bay,city
Palm Beach,Palm Beach,town
Palm Beach,Palm Beach Gardens,city
Palm Beach,Palm Beach Shores,town
Martin,Palm City,census designated place
Flagler,Palm Coast,city
Pinellas,Palm Harbor,census designated place
Hillsborough,Palm River-Clair Mel,census designated place
Brevard,Palm Shores,town
Palm Beach,Palm Springs,village
Miami-Dade,Palm Springs North,census designated place
Saint Johns,Palm Valley,census designated place
Manatee,Palmetto,city
Miami-Dade,Palmetto Bay,village
Miami-Dade,Palmetto Estates,census designated place
Lee,Palmona Park,census designated place
Wakulla,Panacea,census designated place
Bay,Panama City,city
Bay,Panama City Beach,city
Orange,Paradise Heights,census designated place
Bay,Parker,city
Broward,Parkland,city
Pasco,Pasadena Hills,census designated place
Brevard,Patrick Air Force Base,census designated place
Walton,Paxton,town
Santa Rosa,Pea Ridge,census designated place
Hillsborough,Pebble Creek,census designated place
Collier,Pelican Bay,designated place
Broward,Pembroke Park,town
Broward,Pembroke Pines,city
Clay,Penney Farms,town
Escambia,Pensacola,city
Taylor,Perry,city
Volusia,Pierson,town
Palm Beach,Pine Air,census designated place
Orange,Pine Castle,census designated place
Orange,Pine Hills,census designated place
Hernando,Pine Island,census designated place
Lee,Pine Island Center,census designated place
Lake,Pine Lakes,census designated place
Santa Rosa,Pine Level,census designated place
Lee,Pine Manor,census designated place
Citrus,Pine Ridge,census designated place
Collier,Pine Ridge,census designated place
Miami-Dade,Pinecrest,village
Lee,Pineland,census designated place
Pinellas,Pinellas Park,city
Miami-Dade,Pinewood,census designated place
Hendry,Pioneer,census designated place
Lake,Pittman,census designated place
Hillsborough,Plant City,city
Broward,Plantation,city
Sarasota,Plantation,census designated place
Collier,Plantation Island,census designated place
Palm Beach,Plantation Mobile Home Park,census designated place
Polk,Poinciana,census designated place
Osceola,Poinciana,census designated place
Santa Rosa,Point Baker,census designated place
Polk,Polk City,town
Putnam,Pomona Park,town
Broward,Pompano Beach,city
Holmes,Ponce de Leon,town
Volusia,Ponce Inlet,town
Charlotte,Port Charlotte,census designated place
Hendry,Port La Belle,census designated place
Volusia,Port Orange,city
Pasco,Port Richey,city
Gulf,Port Saint Joe,city
Brevard,Port Saint John,census designated place
Saint Lucie,Port Saint Lucie,city
Martin,Port Salerno,census designated place
Bay,Pretty Bayou,census designated place
Miami-Dade,Princeton,census designated place
Hillsborough,Progress Village,census designated place
Charlotte,Punta Gorda,city
Lee,Punta Rassa,census designated place
Pasco,Quail Ridge,census designated place
Gadsden,Quincy,city
Union,Raiford,town
Levy,Raleigh,census designated place
Marion,Reddick,town
Pinellas,Redington Beach,town
Pinellas,Redington Shores,town
Miami-Dade,Richmond Heights,census designated place
Miami-Dade,Richmond West,census designated place
Hernando,Ridge Manor,census designated place
Sarasota,Ridge Wood Heights,census designated place
Pinellas,Ridgecrest,census designated place
Martin,Rio,census designated place
Orange,Rio Pinar,census designated place
Saint Lucie,River Park,census designated place
Pasco,River Ridge,census designated place
Hillsborough,Riverview,census designated place
Palm Beach,Riviera Beach,city
Brevard,Rockledge,city
Santa Rosa,Roeville,census designated place
Broward,Roosevelt Gardens,census designated place
Indian River,Roseland,census designated place
Charlotte,Rotonda,census designated place
Palm Beach,Royal Palm Beach,village
Palm Beach,Royal Palm Estates,census designated place
Hillsborough,Ruskin,census designated place
Pinellas,Safety Harbor,city
Saint Johns,Saint Augustine,city
Saint Johns,Saint Augustine Beach,city
Saint Johns,Saint Augustine Shores,census designated place
Saint Johns,Saint Augustine South,census designated place
Osceola,Saint Cloud,city
Franklin,Saint George Island,census designated place
Lee,Saint James City,census designated place
Pasco,Saint Leo,town
Saint Lucie,Saint Lucie Village,town
Wakulla,Saint Marks,city
Pinellas,Saint Pete Beach,populated place
Pinellas,Saint Petersburg,city
Manatee,Samoset,census designated place
Volusia,Samsula-Spruce Creek,census designated place
Pasco,San Antonio,city
Lee,San Carlos Park,census designated place
Palm Beach,San Castle,census designated place
Seminole,Sanford,city
Lee,Sanibel,city
Sarasota,Sarasota,city
Sarasota,Sarasota Springs,census designated place
Brevard,Satellite Beach,city
Saint Johns,Sawgrass,census designated place
Palm Beach,Schall Circle,census designated place
Broward,Sea Ranch Lakes,village
Indian River,Sebastian,city
Highlands,Sebring,city
Hillsborough,Seffner,census designated place
Pinellas,Seminole,city
Palm Beach,Seminole Manor,census designated place
Volusia,Seville,census designated place
Martin,Sewall's Point,town
Pasco,Shady Hills,census designated place
Okaloosa,Shalimar,town
Brevard,Sharpes,census designated place
Sarasota,Siesta Key,census designated place
Lake,Silver Lake,census designated place
Marion,Silver Springs Shores,census designated place
Orange,Sky Lake,census designated place
Jackson,Sneads,town
Charlotte,Solana,census designated place
Wakulla,Sopchoppy,city
Lake,Sorrento,census designated place
Orange,South Apopka,census designated place
Palm Beach,South Bay,city
Indian River,South Beach,census designated place
Manatee,South Bradenton,census designated place
Hernando,South Brooksville,census designated place
Volusia,South Daytona,city
Sarasota,South Gate Ridge,census designated place
Pinellas,South Highpoint,census designated place
Miami-Dade,South Miami,city
Miami-Dade,South Miami Heights,census designated place
Palm Beach,South Palm Beach,town
Pinellas,South Pasadena,city
Brevard,South Patrick Shores,census designated place
Sarasota,South Sarasota,census designated place
Sarasota,South Venice,census designated place
Orange,Southchase,census designated place
Osceola,Southchase,census designated place
Desoto,Southeast Arcadia,census designated place
Sarasota,Southgate,census designated place
Orange,Southchase,census designated place
Broward,Southwest Ranches,town
Hernando,Spring Hill,census designated place
Hernando,Spring Lake,census designated place
Gilchrist,Spring Ridge,census designated place
Bay,Springfield,city
Santa Rosa,Springhill,census designated place
Palm Beach,Stacey Street,census designated place
Bradford,Starke,city
Taylor,Steinhatchee,census designated place
Monroe,Stock Island,census designated place
Martin,Stuart,city
Citrus,Sugarmill woods,census designated place
Liberty,Sumatra,census designated place
Hillsborough,Sun City Center,census designated place
Lee,Suncoast Estates,census designated place
Miami-Dade,Sunny Isles Beach,city
Broward,Sunrise,city
Miami-Dade,Sunset,census designated place
Miami-Dade,Surfside,town
Miami-Dade,Sweetwater,city
Orange,Taft,census designated place
Leon,Tallahassee,city
Broward,Tamarac,city
Miami-Dade,Tamiami,census designated place
Hillsborough,Tampa,city
Orange,Tangelo Park,census designated place
Orange,Tangerine,census designated place
Pinellas,Tarpon Springs,city
Lake,Tavares,city
Monroe,Tavernier,census designated place
Okeechobee,Taylor Creek,census designated place
Hillsborough,Temple Terrace,city
Palm Beach,Tequesta,village
Palm Beach,The Acreage,census designated place
Miami-Dade,The Crossings,census designated place
Miami-Dade,The Hammocks,census designated place
Sarasota,The Meadows,census designated place
Marion,The Villages,census designated place
Sumter,The Villages,census designated place
Hillsborough,Thonotosassa,census designated place
Miami-Dade,Three Lakes,census designated place
Lee,Three Oaks,census designated place
Lee,Tice,census designated place
Pinellas,Tierra Verde,census designated place
Santa Rosa,Tiger Point,census designated place
Orange,Tildenville,census designated place
Hernando,Timber Pines,census designated place
Brevard,Titusville,city
Hillsborough,Town 'n' Country,populated place
Pinellas,Treasure Island,city
Gilchrist,Trenton,city
Pasco,Trilby,census designated place
Pasco,Trinity,census designated place
Bay,Tyndall Air Force Base,census designated place
Lake,Umatilla,city
Orange,Union Park,census designated place
Hillsborough,University,census designated place
Orange,University,census designated place
Miami-Dade,University Park,census designated place
Bay,Upper Grand Lagoon,census designated place
Okaloosa,Valparaiso,city
Hillsborough,Valrico,census designated place
Sarasota,Vamo,census designated place
Sarasota,Venice,city
Sarasota,Venice Gardens,census designated place
Washington,Vernon,city
Indian River,Vero Beach,city
Indian River,Vero Beach South,census designated place
Collier,Verona Walk,census designated place
Brevard,Viera East,census designated place
Brevard,Viera West,census designated place
Saint Johns,Villano Beach,census designated place
Lee,Villas,census designated place
Collier,Vineyards,census designated place
Miami-Dade,Virginia Gardens,village
Indian River,Wabasso,census designated place
Indian River,Wabasso Beach,census designated place
Jefferson,Wacissa,census designated place
Polk,Wahneta,census designated place
Alachua,Waldo,city
Santa Rosa,Wallace,census designated place
Sarasota,Warm Mineral Springs,census designated place
Escambia,Warrington,census designated place
Broward,Washington Park,census designated place
Palm Beach,Watergate,census designated place
Columbia,Watertown,census designated place
Hardee,Wauchula,city
Jefferson,Waukeenah,census designated place
Washington,Wausau,town
Polk,Waverly,census designated place
Sumter,Webster,city
Orange,Wedgefield,census designated place
Hernando,Weeki Wachee,city
Hernando,Weeki Wachee Gardens,census designated place
Seminole,Wekiwa Springs,census designated place
Putnam,Welaka,town
Palm Beach,Wellington,village
